TB_Staff_id	Year	Month	Base_salary	Performance_bonus	Apprentice_bonus	Evergreen_bonus
TB_002	2023	3	2000	1500	4000	233
TB_003	2023	3	5000	2000	3000	200
TB_002	2024	1	2001	1500	4000	233
TB_002	2024	2	2002	1500	4700	290
TB_002	2024	3	2003	1500	4700	290
TB_002	2024	4	2004	1500	4700	290
TB_002	2024	5	2005	1500	4700	290
TB_002	2024	6	2006	1588	4700	290
TB_002	2023	4	2007	1500	4700	290
TB_002	2023	5	2008	1500	4700	290
TB_002	2023	6	2009	1500	4700	290
TB_002	2023	7	2010	1500	4700	290
TB_002	2023	8	2000	1500	4700	290
TB_002	2023	9	2000	1500	4700	290
TB_002	2023	10	2000	1500	4700	290
TB_002	2023	11	2000	1500	4700	290
TB_002	2023	12	2000	1500	4700	290
TB_002	2023	1	2000	1500	4700	290
TB_002	2023	2	2000	1500	4700	290
